league_id,season,team_id,team_name
1409356,2024,1,Suncoast Beach Bums
1409356,2024,2,EAST HOLLYWOOD SKULLS 
1409356,2024,3,--PrimeTime--
1409356,2024,4,Big Generals
1409356,2024,10,Astoria Souvlaki
1409356,2024,12,Fisherville Vito Villains
1409356,2024,14,Guardians OG Williams
1409356,2024,15,Cannibals  Can
1409356,2024,16,Alexandria  Legion of Doom
1409356,2024,17,Old School Ballin
1308365,2024,1,Ball too well (Taylors version)
1308365,2024,2,Ben’s Team
1308365,2024,3,Goff my lawn
1308365,2024,4,Corbin's Crushers
1308365,2024,5,St. Elmo's Fire
1308365,2024,6,All Barkley  No Bite
1308365,2024,7,The Doodle's Dudes
1308365,2024,8,Kiss My Heinicke
1308365,2024,11,Team Magillicutty!
1308365,2024,12,Hawk Tua
915297,2024,1,Shoneys Squanch Squad
915297,2024,2,Cincinnati Gun Owners Club
915297,2024,3,Magic SkolBus
915297,2024,4,RidenforBiden BBB
915297,2024,5,McDonalds all Day breakfast 
915297,2024,6,To Infinity and Bijan
915297,2024,7,Burrow My Face In Your TD's
915297,2024,8,Team King
915297,2024,9,The Nabers Think Im Sellin Dope
915297,2024,10,Tanner's team
1363563,2024,1,I'M PLAYING SPOILER!!!
1363563,2024,3,Tap out playa
1363563,2024,4,No Wins in 2 Leagues
1363563,2024,9,Mad Dog Shot JJ
1363563,2024,11,Go Philly  Spanky  Boys
1363563,2024,12,LA BigChiz
1363563,2024,13,DOLPHINS 305 4LIFE 
1363563,2024,14,2017-18 CHAMPS
1363563,2024,15,Audacity inc
1363563,2024,16,Atlanta Bigus Dickus
1916109,2024,1,rashad's Rowdy Team
1916109,2024,2,What happened 
1916109,2024,3,brandon's 5th Best Team
1916109,2024,4,Ceedeez nutz 
1916109,2024,5,Under The Table Handoffs
1916109,2024,6,Footballjunky 14
1916109,2024,7,Prac
1916109,2024,8,Losers
1916109,2024,9,Eli's Excellent Team
1916109,2024,10,Christian's Cool Team
1240358,2024,1,THE 5 IS HERE
1240358,2024,2,I an not a deandre swifty
1240358,2024,3,Karie's Top-Notch Team
1240358,2024,4,Dawg Pound Dynasty
1240358,2024,5,Luis's Loud Team 🍃🔥💨
1240358,2024,6,Joker's Dank🤡
1240358,2024,7,Football team
1240358,2024,8,Sheilah's Smart Team
1240358,2024,9,John's Scary Team
1240358,2024,10,Alessandro's Astounding Team
1167440,2024,1,Winning Amont-ra
1167440,2024,2,nate jones big winner
1167440,2024,3,Domination Machine
1167440,2024,7,All about the Chase
1167440,2024,8,GUNNER  WIN BiG
1167440,2024,9,They not like us
1167440,2024,17,Nater Tots
1167440,2024,18,Sammy Hearts Hamlin
1167440,2024,20,W.C.W.S.W.C
1167440,2024,22,Tim Tebow's  Youth Group
1730745,2024,1,Team Jenkins
1730745,2024,23,Lamar's Birds
1730745,2024,43,Washington Washingtons
1730745,2024,44,Arkham Horrors
1730745,2024,45,Purdy Good Looking 
1730745,2024,46,Worm Town
1730745,2024,47,Isengard Hobbits
1730745,2024,48,Dak Attack
1730745,2024,49,Victorious Secret 
1730745,2024,50,House Harkpwnnen
848636,2024,1,Wilson! I'm Sorry!
848636,2024,4,Chark Bait Ooh Ha Ha
848636,2024,13,Blokeback Mountain
848636,2024,20,Tucker's Fuckers
848636,2024,21,Lloyd  Christmas
848636,2024,23,MaHomies Touch My TE
848636,2024,24,I Wish I Had Tebow
848636,2024,25,Game of  Jones
848636,2024,27,Murray Had A  Little Lamb
848636,2024,28,Allen Tents And Purposes
875841,2024,1,Richard Tucker-Hurts
875841,2024,2,Show Me  Your TDs
875841,2024,4,Heather's Heated Team
875841,2024,6,Waffle  Stompers
875841,2024,9,Let Er Bark
875841,2024,10,Broken CHUBB energy
875841,2024,11,Team Lechnir
875841,2024,14,London Silly Nannies
875841,2024,15,Najee By Nature
875841,2024,16,Backdoor Rushers
1392525,2024,1,Soggy Bottom Boys
1392525,2024,2,Team BelicheckYoself
1392525,2024,3,Scranton Stranglers
1392525,2024,4,Team T-bone McKenzie
1392525,2024,5,Jacobi-Wan Kenobis
1392525,2024,12,Rick  Flair Drip
1392525,2024,13,Not Players We  Just Crush Alot
1392525,2024,14,Cake Sniffers
1392525,2024,15,Baby Got Dak
