League_ID,Year,Player,Team,Round,Pick,Overall,Is_Autodrafted,Auto_Draft_Type_ID
1409356,2024,Christian McCaffrey,14,1,1,1,0,0
1409356,2024,Bijan Robinson,12,1,2,2,1,3
1409356,2024,Breece Hall,2,1,3,3,1,2
1409356,2024,Saquon Barkley,10,1,4,4,0,0
1409356,2024,CeeDee Lamb,3,1,5,5,0,0
1409356,2024,Tyreek Hill,15,1,6,6,0,0
1409356,2024,Amon-Ra St. Brown,4,1,7,7,1,3
1409356,2024,Ja'Marr Chase,16,1,8,8,1,3
1409356,2024,Justin Jefferson,17,1,9,9,1,3
1409356,2024,A.J. Brown,1,1,10,10,0,0
1409356,2024,Jonathan Taylor,1,2,1,11,0,0
1409356,2024,Puka Nacua,17,2,2,12,1,3
1409356,2024,Dak Prescott,16,2,3,13,0,0
1409356,2024,Garrett Wilson,4,2,4,14,1,3
1409356,2024,Marvin Harrison Jr.,15,2,5,15,0,0
1409356,2024,Derrick Henry,3,2,6,16,0,0
1409356,2024,Isiah Pacheco,10,2,7,17,0,0
1409356,2024,Jahmyr Gibbs,2,2,8,18,1,2
1409356,2024,Kyren Williams,12,2,9,19,1,3
1409356,2024,Mike Evans,14,2,10,20,0,0
1409356,2024,Travis Etienne Jr.,14,3,1,21,0,0
1409356,2024,Chris Olave,12,3,2,22,1,3
1409356,2024,Michael Pittman Jr.,2,3,3,23,1,2
1409356,2024,Davante Adams,10,3,4,24,0,0
1409356,2024,Patrick Mahomes,3,3,5,25,0,0
1409356,2024,Keon Coleman,15,3,6,26,1,3
1409356,2024,Drake London,4,3,7,27,1,3
1409356,2024,Rachaad White,16,3,8,28,1,3
1409356,2024,Nico Collins,17,3,9,29,1,3
1409356,2024,Deebo Samuel Sr.,1,3,10,30,0,0
1409356,2024,Lamar Jackson,1,4,1,31,0,0
1409356,2024,Alvin Kamara,17,4,2,32,1,3
1409356,2024,Malik Nabers,16,4,3,33,1,3
1409356,2024,James Cook,4,4,4,34,1,3
1409356,2024,Josh Jacobs,15,4,5,35,0,0
1409356,2024,Kenneth Walker III,3,4,6,36,0,0
1409356,2024,Travis Kelce,10,4,7,37,0,0
1409356,2024,DK Metcalf,2,4,8,38,1,2
1409356,2024,Brandon Aiyuk,12,4,9,39,1,3
1409356,2024,Stefon Diggs,14,4,10,40,0,0
1409356,2024,Joe Mixon,14,5,1,41,0,0
1409356,2024,DJ Moore,12,5,2,42,1,3
1409356,2024,Josh Allen,2,5,3,43,1,2
1409356,2024,Jalen Hurts,10,5,4,44,0,0
1409356,2024,Cooper Kupp,3,5,5,45,0,0
1409356,2024,C.J. Stroud,15,5,6,46,0,0
1409356,2024,Sam LaPorta,4,5,7,47,1,3
1409356,2024,Brian Robinson Jr.,16,5,8,48,0,0
1409356,2024,De'Von Achane,17,5,9,49,1,3
1409356,2024,George Kittle,1,5,10,50,0,0
1409356,2024,Zamir White,1,6,1,51,0,0
1409356,2024,Mark Andrews,17,6,2,52,1,3
1409356,2024,DeVonta Smith,16,6,3,53,1,3
1409356,2024,Anthony Richardson,4,6,4,54,1,3
1409356,2024,Trey McBride,15,6,5,55,0,0
1409356,2024,Tee Higgins,3,6,6,56,0,0
1409356,2024,Calvin Ridley,10,6,7,57,0,0
1409356,2024,Jaylen Waddle,2,6,8,58,1,2
1409356,2024,Evan Engram,12,6,9,59,1,3
1409356,2024,Amari Cooper,14,6,10,60,0,0
1409356,2024,Kyle Pitts,14,7,1,61,0,0
1409356,2024,Joe Burrow,12,7,2,62,1,3
1409356,2024,Dalton Kincaid,2,7,3,63,1,2
1409356,2024,Zay Flowers,10,7,4,64,0,0
1409356,2024,Rashee Rice,3,7,5,65,0,0
1409356,2024,Zack Moss,15,7,6,66,0,0
1409356,2024,Rhamondre Stevenson,4,7,7,67,1,3
1409356,2024,Aaron Jones,16,7,8,68,0,0
1409356,2024,George Pickens,17,7,9,69,1,3
1409356,2024,Chris Godwin,1,7,10,70,0,0
1409356,2024,Harrison Butker,1,8,1,71,0,0
1409356,2024,Tank Dell,17,8,2,72,1,3
1409356,2024,Brandon Aubrey,16,8,3,73,0,0
1409356,2024,D'Andre Swift,4,8,4,74,1,3
1409356,2024,49ers D/ST,15,8,5,75,0,0
1409356,2024,Terry McLaurin,3,8,6,76,0,0
1409356,2024,James Conner,10,8,7,77,0,0
1409356,2024,Diontae Johnson,2,8,8,78,1,2
1409356,2024,Keenan Allen,12,8,9,79,1,3
1409356,2024,Rome Odunze,14,8,10,80,0,0
1409356,2024,Brock Purdy,14,9,1,81,0,0
1409356,2024,Christian Kirk,12,9,2,82,1,3
1409356,2024,Jaxon Smith-Njigba,2,9,3,83,1,2
1409356,2024,Courtland Sutton,10,9,4,84,0,0
1409356,2024,Javonte Williams,3,9,5,85,0,0
1409356,2024,Tony Pollard,15,9,6,86,0,0
1409356,2024,Najee Harris,4,9,7,87,1,3
1409356,2024,Tua Tagovailoa,16,9,8,88,0,0
1409356,2024,Kyler Murray,17,9,9,89,1,3
1409356,2024,Jets D/ST,1,9,10,90,0,0
1409356,2024,Jerome Ford,1,10,1,91,0,0
1409356,2024,Jaylen Warren,17,10,2,92,1,3
1409356,2024,David Njoku,16,10,3,93,1,2
1409356,2024,David Montgomery,4,10,4,94,1,3
1409356,2024,Jake Ferguson,15,10,5,95,0,0
1409356,2024,Tyjae Spears,3,10,6,96,0,0
1409356,2024,Christian Watson,10,10,7,97,0,0
