league_id,season,name,num_teams,ppr_points,total_pf
1290929,2024,,10,1.0,
1270952,2024,,14,1.0,
1170996,2024,,10,0.5,
930231,2024,,10,0.5,
1380215,2024,,10,,
1178513,2024,,10,1.0,
897196,2024,,10,0.5,
1224859,2024,,10,1.0,
1506775,2024,,12,1.0,
1133147,2024,,10,1.0,
1214877,2024,,10,0.5,
1175130,2024,,12,1.0,
1256259,2024,,16,1.0,
816595,2024,,12,1.0,
1286330,2024,,10,1.0,
1274764,2024,,10,1.0,
1406954,2024,,12,0.5,
1221614,2024,,12,1.0,
1310691,2024,,12,1.0,
824790,2024,,10,1.0,
968379,2024,,10,0.5,
1543889,2024,,8,1.0,
1636849,2024,,12,0.5,
1410182,2024,,12,1.0,
966508,2024,,8,0.5,
821582,2024,,14,1.0,
925273,2024,,12,0.5,
1372008,2024,,8,,
1036594,2024,,12,0.5,
1337362,2024,,18,0.5,
1346534,2024,,10,1.0,
939722,2024,,10,1.0,
908603,2024,,12,1.0,
1525377,2024,,10,0.5,
1033780,2024,,10,0.5,
1435883,2024,,8,1.0,
1139222,2024,,10,,
1138748,2024,,10,1.0,
1611554,2024,,10,1.0,
1137543,2024,,12,1.0,
916632,2024,,8,1.0,
1310315,2024,,9,1.0,
1384289,2024,,10,0.5,
1071321,2024,,10,0.5,
1121667,2024,,8,1.0,
1006254,2024,,10,1.0,
1251378,2024,,10,1.0,
1025051,2024,,12,0.5,
1136248,2024,,10,,
1156303,2024,,12,0.5,
1114030,2024,,10,1.0,
1182957,2024,,20,0.14,
1315274,2024,,10,0.5,
1171470,2024,,14,0.5,
1384235,2024,,10,0.5,
1392385,2024,,10,1.0,
1107941,2024,,10,1.0,
1127826,2024,,10,1.0,
1384602,2024,,12,0.5,
1331167,2024,,10,1.0,
1293483,2024,,10,1.0,
18332277,2024,,10,1.0,
1287405,2024,,12,1.0,
1285737,2024,,8,1.0,
1267168,2024,,12,0.75,
1520079,2024,,8,1.0,
1414707,2024,,10,,
1554089,2024,,12,0.5,
1333443,2024,,10,,
1016178,2024,,10,1.0,
1499880,2024,,16,0.5,
1207838,2024,,10,1.0,
1052090,2024,,8,,
985344,2024,,14,,
934265,2024,,8,1.0,
1238982,2024,,12,1.0,
1137645,2024,,10,1.0,
1108118,2024,,10,1.0,
969270,2024,,10,,
1286148,2024,,10,1.0,
1053157,2024,,12,0.5,
1392521,2024,,12,1.0,
1172213,2024,,10,1.0,
907231,2024,,10,0.5,
1152782,2024,,12,1.0,
926346,2024,,12,0.5,
1445490,2024,,12,1.0,
1655301,2024,,10,1.0,
974177,2024,,12,0.5,
1140753,2024,,10,1.0,
1606307,2024,,12,1.0,
1679794,2024,,12,,
1213849,2024,,8,0.5,
855242,2024,,12,0.5,
1435664,2024,,10,0.5,
1523652,2024,,12,1.0,
1400952,2024,,12,,
1403807,2024,,12,1.0,
1118482,2024,,12,1.0,
856010,2024,,12,1.0,
