League_ID,Week,Team,Player,Slot,Points,Projected_Points,Is_Starter
1409356,1,4,Amon-Ra St. Brown,WR,4.3,19.41,1
1409356,1,4,Garrett Wilson,WR,12.0,16.54,1
1409356,1,4,Drake London,BE,3.5,14.36,0
1409356,1,4,James Cook,BE,13.3,17.27,0
1409356,1,4,Sam LaPorta,TE,8.5,14.06,1
1409356,1,4,Anthony Richardson,BE,37.08,42.72,0
1409356,1,4,Rhamondre Stevenson,BE,21.6,13.08,0
1409356,1,4,D'Andre Swift,RB,5.0,12.57,1
1409356,1,4,Najee Harris,RB/WR/TE,8.9,11.33,1
1409356,1,4,David Montgomery,RB,16.3,12.71,1
1409356,1,4,Jordan Love,BE,34.4,43.5,0
1409356,1,4,Ezekiel Elliott,BE,12.9,9.8,0
1409356,1,4,Gus Edwards,BE,3.8,9.54,0
1409356,1,4,Trevor Lawrence,QB,26.28,41.51,1
1409356,1,4,Eagles D/ST,D/ST,0.0,4.85,1
1409356,1,4,Cairo Santos,K,13.0,8.18,1
1409356,1,2,Breece Hall,RB,18.3,17.94,1
1409356,1,2,Jahmyr Gibbs,RB,17.4,16.59,1
1409356,1,2,Michael Pittman Jr.,WR,7.1,15.53,1
1409356,1,2,DK Metcalf,WR,5.9,13.94,1
1409356,1,2,Josh Allen,QB,51.18,48.07,1
1409356,1,2,Jaylen Waddle,RB/WR/TE,16.2,13.74,1
1409356,1,2,Dalton Kincaid,TE,2.1,11.54,1
1409356,1,2,Diontae Johnson,BE,3.9,13.34,0
1409356,1,2,Jaxon Smith-Njigba,BE,3.9,12.48,0
1409356,1,2,Jayden Reed,BE,33.1,11.81,0
1409356,1,2,Devin Singletary,BE,9.2,11.96,0
1409356,1,2,Hollywood Brown,BE,0.0,0.0,0
1409356,1,2,Tyler Lockett,BE,13.7,11.22,0
1409356,1,2,Jaleel McLaughlin,BE,5.8,7.96,0
1409356,1,2,Steelers D/ST,D/ST,13.0,6.16,1
1409356,1,2,Jake Moody,K,26.0,7.91,1
1409356,1,12,Bijan Robinson,RB,16.1,18.56,1
1409356,1,12,Kyren Williams,RB,14.4,15.69,1
1409356,1,12,Chris Olave,WR,3.1,16.27,1
1409356,1,12,Brandon Aiyuk,WR,4.8,13.53,1
1409356,1,12,DJ Moore,RB/WR/TE,10.0,13.63,1
1409356,1,12,Evan Engram,TE,1.5,12.01,1
1409356,1,12,Joe Burrow,QB,32.06,46.0,1
1409356,1,12,Keenan Allen,BE,6.9,12.86,0
1409356,1,12,Christian Kirk,BE,4.0,12.84,0
1409356,1,12,Jordan Addison,BE,6.5,11.69,0
1409356,1,12,Xavier Worthy,BE,20.8,11.36,0
1409356,1,12,Mike Williams,BE,0.0,7.7,0
1409356,1,12,T.J. Hockenson,BE,0.0,0.0,0
1409356,1,12,Deshaun Watson,BE,40.66,40.73,0
1409356,1,12,Ravens D/ST,D/ST,3.0,3.77,1
1409356,1,12,Cameron Dicker,K,12.0,8.24,1
1409356,1,1,A.J. Brown,WR,22.9,17.19,1
1409356,1,1,Jonathan Taylor,RB,10.8,16.75,1
1409356,1,1,Deebo Samuel Sr.,WR,19.7,16.18,1
1409356,1,1,Lamar Jackson,QB,52.12,44.3,1
1409356,1,1,George Kittle,TE,8.0,11.35,1
1409356,1,1,Zamir White,RB,4.6,13.2,1
1409356,1,1,Chris Godwin,RB/WR/TE,22.3,13.89,1
1409356,1,1,Harrison Butker,K,9.0,8.4,1
1409356,1,1,Jets D/ST,BE,-1.0,3.85,0
1409356,1,1,Jerome Ford,BE,18.9,11.89,0
1409356,1,1,Tyler Allgeier,BE,2.1,7.48,0
1409356,1,1,Adam Thielen,BE,7.9,11.18,0
1409356,1,1,Zach Charbonnet,BE,12.1,8.86,0
1409356,1,1,Pat Freiermuth,BE,6.7,8.82,0
1409356,1,1,Derek Carr,BE,41.3,39.86,0
1409356,1,1,Seahawks D/ST,D/ST,11.0,7.98,1
1409356,1,15,Tyreek Hill,WR,26.0,19.69,1
1409356,1,15,Marvin Harrison Jr.,WR,1.4,15.4,1
1409356,1,15,Keon Coleman,RB/WR/TE,9.1,11.57,1
1409356,1,15,Josh Jacobs,RB,12.4,15.77,1
1409356,1,15,C.J. Stroud,QB,46.66,45.59,1
1409356,1,15,Trey McBride,TE,8.0,12.47,1
1409356,1,15,Zack Moss,RB,14.1,10.76,1
1409356,1,15,49ers D/ST,D/ST,7.0,5.75,1
1409356,1,15,Tony Pollard,BE,18.4,11.02,0
