league_id,season,num_teams,ppr_points,total_pf
18482104,2024,6,1.0,0.0
7387096,2024,12,0.5,17757.100000000002
11358933,2024,10,1.0,15021.679999999998
9415009,2024,12,1.0,19599.980000000003
4529838,2024,10,1.0,11009.32
4722403,2024,10,1.0,15613.420000000002
9399518,2024,10,1.0,16868.14
1232214,2024,12,1.0,17956.039999999997
1282641,2024,10,0.5,15788.359999999995
1143211,2024,12,1.0,19085.06
18315690,2024,12,,15669.78
1325888,2024,10,,13409.649999999998
18486683,2024,8,1.0,13343.240000000002
1546588,2024,8,1.0,0.0
1524395,2024,12,1.0,20638.7
1644223,2024,10,1.0,17470.0
1019773,2024,12,0.5,18757.120000000003
1188107,2024,10,1.0,19116.78
1070020,2024,10,1.0,22549.0
1164239,2024,12,,22154.0
16883502,2024,10,1.0,8450.460000000001
1101851,2024,12,,20491.0
1014160,2024,10,0.5,13939.22
1107827,2024,12,0.5,0.0
1262404,2024,10,1.0,15232.0
1033944,2024,12,0.5,16477.680000000004
1276637,2024,12,0.5,17633.660000000003
1084796,2024,12,,14153.0
1318901,2024,10,1.0,17791.22
18498792,2024,4,1.0,7315.74
1114840,2024,10,1.0,15697.14
1200888,2024,10,,15917.5
1089674,2024,10,1.0,18149.88
1315486,2024,12,1.0,20267.78
1296906,2024,12,,13033.98
1003420,2024,10,0.5,17092.92
1463879,2024,12,0.5,17748.52
1766566,2024,12,1.0,20741.619999999995
1117242,2024,10,0.5,15258.6
1443131,2024,12,1.0,20381.54
1046388,2024,10,1.0,17432.6
1221234,2024,10,0.5,0.0
1231343,2024,12,0.5,17839.08
1197790,2024,8,1.0,17562.0
1551669,2024,14,1.0,23403.3
1136194,2024,10,1.0,16957.460000000003
1350112,2024,10,1.0,17013.6
1003153,2024,8,1.0,15469.34
1251179,2024,12,1.0,0.0
1084213,2024,12,0.5,21019.9
